Protein_ID,Gene,S1,S2,S3,R1,R2,R3
P01023,A2M,-2.29411,0.774441,0.744743,0.0746384,0.555817,0.141628
Q9NRG9,AAAS,2.16038,0.908577,1.0821,0.772278,0.622931,0.813824
Q86V21,AACS,-1.15005,-0.321484,-0.285135,-0.297598,-0.414093,-0.346092
Q2M2I8;Q9NSY1,AAK1,-0.797508,-1.1604,-1.313,-1.00317,-1.00607,-1.27131
Q9H7C9,AAMDC,-2.43268,-0.0384731,-0.0529499,-0.307234,-0.150232,-0.312918
Q13685,AAMP,-0.331844,-0.160463,-0.107916,0.157101,0.52607,0.0570946
Q9Y312,AAR2,-0.565334,-1.04851,-0.963913,-1.37322,-2.93164,-1.14903
P49588,AARS1,2.51292,3.43155,3.48171,3.25664,3.3505,3.28923
Q5JTZ9,AARS2,-1.04687,-0.557362,-0.320156,-0.57902,-0.125839,-0.468645
Q9BTE6,AARSD1,0.468386,-0.776434,-0.642179,-1.01281,-0.701422,-0.979416
Q9NRN7,AASDHPPT,-1.03332,0.461731,0.375509,0.61445,0.0426445,-0.229053
Q9NY61,AATF,0.405121,-0.251318,-0.330917,-0.353392,-0.817875,-0.24238
Q9NRK6,ABCB10,-2.44756,-1.96934,-1.87218,-1.46402,-1.78221,-1.79077
Q9NP58,ABCB6,-2.22938,-2.11909,-2.03838,-2.37902,-3.74314,-2.30035
O75027,ABCB7,1.77996,-0.296539,-0.158186,-0.416798,-0.196276,-0.351393
P33527,ABCC1,0.0196285,-0.0515289,-0.156975,-0.255606,-0.796001,-0.307636
O15438,ABCC3,-0.575115,-1.49231,-1.83706,-1.50606,-1.5507,-1.1648
P33897,ABCD1,-1.29971,-1.38767,-1.3742,-1.26788,-0.83988,-1.12562
P28288,ABCD3,0.405121,1.35694,1.55431,1.32448,1.25701,1.29715
P61221,ABCE1,1.73102,1.11548,1.15395,1.22967,1.0072,1.22148
Q8NE71,ABCF1,-0.0198994,0.38628,0.385492,0.446608,0.464668,0.388939
Q9UG63,ABCF2,0.482601,0.243927,0.239006,0.43721,0.422234,0.388939
Q9NUQ8,ABCF3,-0.855925,0.347019,0.365456,0.379494,0.367371,0.538963
Q9NUJ1,ABHD10,1.191,0.296394,0.171368,0.157101,-0.0998707,0.187799
Q8NFV4,ABHD11,-0.274942,0.16711,0.21681,0.339693,-0.412664,-0.0459976
Q8N2K0,ABHD12,0.219566,-0.616724,-0.383614,-0.704828,-1.04568,-1.12729
Q96IU4,ABHD14B,0.672297,2.20603,2.31672,1.82368,0.454176,1.39879
O95870,ABHD16A,-0.635237,-1.06844,-1.05754,-1.02384,-1.25125,-1.14065
Q8WTS1,ABHD5,-0.0265942,-0.850632,-1.08975,-1.22207,-1.96975,-0.989107
Q8IZP0;Q9NYB9,ABI1,-0.645504,0.759567,0.697437,0.647427,0.367371,0.616966
Q9NYB9,ABI2,-1.20312,-1.61503,-2.9095,-2.51215,-4.42216,-2.2983
O14639,ABLIM1,-5.71156,-1.80191,-1.84202,-2.14838,-1.67299,-2.10754
P11274;Q12979,ABR,-2.69251,-1.87355,-1.88515,-1.73099,-1.0294,-1.81225
Q9P1F3,ABRACL,2.69689,1.92866,1.87801,1.67967,-0.0313873,1.69497
Q15018,ABRAXAS2,-1.33095,-0.867901,-0.851494,-1.34928,-0.845932,-1.14388
P09110,ACAA1,1.95653,1.55082,1.48635,1.25664,1.12433,1.40368
Q13085,ACACA,0.364763,0.767023,0.820293,0.61445,0.757023,0.62538
Q9UKU7,ACAD8,-2.49826,-1.02042,-1.19513,-1.25778,-1.54519,-1.19272
Q9H845,ACAD9,0.473141,1.41504,1.5365,1.33969,1.33342,1.34886
P11310,ACADM,0.883425,1.714,1.68536,1.37949,1.44361,1.37404
P16219,ACADS,0.52442,-0.247627,-0.411606,-1.51941,-1.20984,-1.11913
P45954,ACADSB,0.359638,0.121307,0.0129395,-0.572674,-0.327223,-0.382111
P49748,ACADVL,2.17504,2.40313,2.46297,2.22695,2.35896,2.18211
Q15057,ACAP2,-0.545969,-0.80411,-0.944086,-0.868023,-0.746668,-0.807354
P24752,ACAT1,2.27506,3.13145,3.14369,2.58709,2.91648,2.57415
